行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單價,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,0.96,0,87.03,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.16,0,72.71,0,0,0,0,0,0,1,0,0,25.064465,121.525723,11408
1,0,0,0,0,0,0,0,0,0,0,0,6.79,0,81.29,0,0,0,0,0,0,0,1,0,25.063274,121.542958,11408
1,0,0,0,0,0,0,0,0,0,0,0,5.07,0,74.99,0,0,0,0,0,0,1,0,0,25.063386,121.527982,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.07,0,106.95,0,0,0,0,0,0,1,0,0,25.065467,121.524846,11408
1,0,0,0,0,0,0,0,0,0,0,0,3.11,0,88.52,0,0,0,0,0,0,1,0,0,25.065311,121.537058,11408
1,0,0,0,0,0,0,0,0,0,0,0,6.29,0,59.56,0,0,0,0,0,0,0,1,0,25.065649,121.536809,11408
1,0,0,0,0,0,0,0,0,0,0,0,0.96,0,86.73,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.04,0,63.55,0,0,0,0,0,1,0,0,0,25.065883,121.542229,11408
1,0,0,0,0,0,0,0,0,0,0,0,2.75,0,70.47,0,0,0,0,0,0,0,1,0,25.062817,121.528777,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.56,0,53.79,0,0,0,0,0,0,1,0,0,25.067007,121.528128,11408
1,0,0,0,0,0,0,0,0,0,0,0,6.16,0,71.87,0,0,0,0,0,0,1,0,0,25.058345,121.530356,11408
1,0,0,0,0,0,0,0,0,0,0,0,5.47,0,110.52,0,0,0,0,0,0,1,0,0,25.064936,121.537765,11408
1,0,0,0,0,0,0,0,0,0,0,0,5.51,0,57.88,0,0,0,0,0,1,0,0,0,25.067361,121.526357,11408
1,0,0,0,0,0,0,0,0,0,0,0,6.47,0,87.68,0,0,0,0,0,0,1,0,0,25.062396,121.529363,11408
1,0,0,0,0,0,0,0,0,0,0,0,8.39,0,75.72,0,0,0,0,0,1,0,0,0,25.06018,121.529752,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.23,0,94.38,0,0,0,0,0,0,1,0,0,25.060563,121.525788,11408
1,0,0,0,0,0,0,0,0,0,0,0,5.45,0,70.27,0,0,0,0,0,1,0,0,0,25.063182,121.531044,11408
