路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區承德路三段,49.1年,公寓,建坪 40.15,主 + 陽40.15,5房3廳3衛3室(含加蓋2房1廳1衛2室),5樓/5樓,"3,200",0
台北市大同區民族西路,43.9年,華廈,建坪 42.74,主 + 陽41.09,5房2廳2衛2室(含加蓋1房1廳1衛),7樓/7樓,"3,855",0
台北市大同區延平北路二段,2.2年,店面,建坪 43.49,主建物13.59,1廳1衛,1樓/9樓,"3,200",1
台北市大同區重慶北路三段,45.3年,公寓,建坪 34.88,主 + 陽34.88,3房2廳2衛,3樓/5樓,"2,168",0
台北市大同區太原路,31.6年,辦公,建坪 39.77,主建物25.97,1房2廳1衛,4樓/10樓,"3,380",0
台北市大同區重慶北路二段,42.5年,辦公/大樓,建坪 35.53,主 + 陽27.31,2廳1衛,2樓/12樓,"2,468",0
台北市大同區延平北路四段,11.3年,店面,建坪 19.86,主建物6.85,1廳,1樓/7樓,"1,980",1
台北市大同區延平北路四段,46.5年,公寓,建坪 31.08,主 + 陽31.08,5房2廳2衛(含加蓋2房1廳1衛),5樓/5樓,"2,020",0
台北市大同區承德路二段,29.0年,店面,建坪 26.22,主 + 陽18.39,1房1廳1衛,1樓/12樓,"4,150",0
台北市大同區迪化街二段,55.9年,公寓,建坪 17.65,主建物17.65,2房2廳1衛1室(含加蓋1廳1室),4樓/4樓,"1,288",0
台北市大同區重慶北路一段,48.0年,辦公/大樓,建坪 20.04,主建物16.08,1廳1衛,8樓/11樓,"1,899",0
台北市大同區迪化街二段,50.8年,公寓,建坪 26.18,主建物22.32,2廳1衛(含加蓋1衛),1樓/4樓,"2,450",0
台北市大同區雙連街,49.3年,公寓,建坪 39.57,主 + 陽39.56,4房2廳2衛,3樓/5樓,"4,380",0
台北市大同區承德路一段,44.3年,辦公/大樓,建坪 12.78,主建物10.25,1室,12樓/12樓,"1,535",0
台北市大同區重慶北路三段,0.6年,大樓,建坪 39.02,主 + 陽25.98,3房2廳2衛,2樓/15樓,"4,877",0
台北市大同區承德路一段,44.3年,辦公/大樓,建坪 15.4,主建物12.36,1室,12樓/12樓,"1,850",0
台北市大同區五原路,16.2年,大樓/套房,建坪 18.76,主 + 陽7.55,1房1廳1衛(含加蓋1房),5樓/14樓,"1,498",1
台北市大同區昌吉街,55.5年,公寓,建坪 30.12,主 + 陽30.12,3房2廳2衛1室,3樓/4樓,"2,272",0
台北市大同區重慶北路三段,0.6年,大樓,建坪 48.53,主 + 陽25.98,3房2廳2衛,2樓/15樓,"5,088",1
