路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中正區青島東路,39.7年,華廈,建坪 36.54,主 + 陽26.94,3房2廳2衛,3樓/7樓,"4,199",0
台北市中正區杭州南路一段,2.4年,大樓,建坪 80.84,主 + 陽40.22,2廳2衛,18樓/22樓,"10,588",2
台北市中正區水源路,6.9年,大樓,建坪 46.52,主 + 陽23.97,3房2廳2衛,9樓/15樓,"4,988",1
台北市中正區南海路,預售,華廈,建坪 22.06,主+附 14.38,2房2廳1衛,4樓/10樓,"2,666",0
台北市中正區仁愛路一段,27.6年,大樓,建坪 57.17,主 + 陽35.32,3房2廳2衛1室,14樓/16樓,"6,888",1
台北市中正區臨沂街,17.7年,華廈,建坪 45.51,主 + 陽21.71,2房2廳1衛,4樓/6樓,"4,586",1
台北市中正區廈門街,39.0年,透天,建坪 45.31,主 + 陽26.49,7房2廳3衛1室(含加蓋4房1衛),B1-2樓/2樓,"6,188",0
台北市中正區中華路二段,51.8年,華廈,建坪 22,主 + 陽13.46,1房2廳1衛,6樓/7樓,"1,966",0
台北市中正區羅斯福路二段,38.2年,大樓,建坪 27.53,主 + 陽21.21,3房2廳2衛,3樓/12樓,"2,998",0
台北市中正區寧波西街,67.0年,透天,建坪 63.13,主建物58.24,4房3廳5衛2室,1-3樓/3樓,"7,888",0
台北市中正區延平南路,8.1年,辦公/大樓,建坪 19.28,主 + 陽12.46,2房2廳1衛,9樓/15樓,"2,680",0
台北市中正區信義路二段,7.7年,大樓,建坪 42.82,主 + 陽21.04,2廳1衛,11樓/14樓,"6,388",2
台北市中正區青島西路,37.5年,大樓,建坪 50.96,主 + 陽37.16,2房2廳2衛,15樓/16樓,"5,000",0
台北市中正區廈門街,預售,大樓,建坪 47.67,主+附 30.75,3房2廳2衛,10樓/15樓,"5,488",0
台北市中正區銅山街,48.6年,華廈,建坪 41.32,主建物36.04,4房2廳3衛(含加蓋1衛),1樓/7樓,"7,800",0
台北市中正區仁愛路一段,48.5年,大樓/辦公,建坪 29.53,主建物25.31,1房2廳1衛,8樓/12樓,"3,288",0
台北市中正區廈門街,9.4年,店面/辦公/大樓,建坪 31.66,主建物11.85,1廳1衛,1樓/11樓,"3,500",1
台北市中正區紹興北街,17.4年,華廈,建坪 58.73,主 + 陽32.19,4房2廳2衛,5樓/9樓,"6,350",1
台北市中正區忠孝東路二段,0.5年,大樓,建坪 26,主 + 陽15.72,2房2廳1衛,4樓/21樓,"3,638",0
