路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區忠孝東路六段,33.4年,店面,建坪 42.2,主建物26.99,1房1廳1衛1室(含加蓋1室),1樓/9樓,"5,888",0
台北市南港區重陽路,35.9年,辦公,建坪 39.23,主 + 陽35.92,3房2廳2衛,5樓/5樓,"3,450",0
台北市南港區園區街,14.9年,大樓,建坪 63.92,主 + 陽26.77,2房2廳2衛,8樓/14樓,"5,380",2
台北市南港區南港路二段,29.4年,大樓,建坪 61.68,主 + 陽32.81,3房3廳2衛,18樓/19樓,"4,950",2
台北市南港區重陽路,17.1年,店面/辦公,建坪 38.92,主 + 陽18.67,1房1廳1衛,1樓/7樓,"4,100",1
台北市南港區福德街,27.8年,大樓,建坪 39.73,主 + 陽23.84,3房2廳1衛,16樓/19樓,"2,930",0
台北市南港區舊莊街一段,2.9年,華廈,建坪 38.57,主 + 陽15.57,1房2廳1衛,6樓/8樓,"2,738",1
台北市南港區永吉路,1.9年,大樓,建坪 82.19,主 + 陽42.7,4房2廳3衛,13樓/23樓,"9,966",2
台北市南港區福德街,27.8年,大樓,建坪 38.73,主 + 陽23.6,3房2廳1衛,15樓/19樓,"2,498",0
台北市南港區市民大道八段,2.0年,華廈,建坪 21.46,主 + 陽10.13,1房1廳1衛,2樓/7樓,"2,380",1
台北市南港區富康街,50.6年,公寓,建坪 20.75,主 + 陽20.75,5房4廳2衛(含加蓋2房2廳2衛),4樓/4樓,"1,980",0
台北市南港區港東街,0.5年,華廈,建坪 25.28,主 + 陽16.44,2房2廳2衛,4樓/10樓,"3,438",0
台北市南港區研究院路二段,53.1年,公寓,建坪 19.05,主建物16.01,2房2廳1.5衛,1樓/4樓,"1,800",0
台北市南港區玉成街,41.3年,公寓,建坪 42.05,主 + 陽37.92,3房2廳2衛,3樓/5樓,"2,880",0
台北市南港區東新街,48.2年,公寓,建坪 26.63,主 + 陽25.61,5房4廳2衛(含加蓋2房2廳1衛),4樓/4樓,"2,500",0
台北市南港區富康街,48.3年,公寓,建坪 23.6,主 + 陽23.6,2房2廳1衛1室,3樓/4樓,"1,888",0
台北市南港區研究院路三段,35.2年,公寓,建坪 47.55,主 + 陽41.87,4房2廳2衛,2樓/3樓,"2,350",0
台北市南港區東新街,2.9年,華廈,建坪 37.67,主 + 陽16.93,2房2廳2衛,2樓/5樓,"4,080",1
台北市南港區富康街,48.3年,公寓,建坪 22.56,主建物18.95,2房2廳2衛1室,1樓/4樓,"2,688",0
台北市南港區成福路,45.3年,公寓,建坪 39.01,主 + 陽39.01,5房4衛,4樓/5樓,"2,580",0
台北市南港區中南街,67.7年,店面,建坪 21.27,主建物21.27,5房1廳1衛(含加蓋3房1衛),1樓/2樓,"3,360",0
台北市南港區永吉路,1.9年,店面,建坪 55.6,主建物32.03,1廳1衛,1樓/22樓,"6,988",1
台北市南港區研究院路三段,44.3年,公寓,建坪 29.05,主 + 陽29.04,3房2廳2衛,3樓/4樓,"1,450",0
台北市南港區舊莊街一段,4.2年,華廈,建坪 22.95,主 + 陽13,1廳,1樓/4樓,"1,920",1
台北市南港區成福路,30.7年,辦公/華廈,建坪 16.26,主建物7.81,1房1廳1衛1室(含加蓋1房1室),-1樓/6樓,728,0
台北市南港區松河街,16.3年,華廈,建坪 15.95,主 + 陽7.57,1房1廳1衛,5樓/7樓,"1,468",1
台北市南港區福德街,27.8年,大樓,建坪 38.86,主 + 陽23.72,3房2廳1衛,13樓/18樓,"2,798",0
